# sep	energy	f1x	f1y	f1z	f2x	f2y	f2z	t1x	t1y	t1z	t2x	t2y	t2z
10.100	154920.0	-4.26325641456e-14	-918061.152822	-4.26325641456e-14	4.99600361081e-16	918061.15282	-1.27897692437e-13	1.26310624182e-08	0.00218790931922	-2.72848410532e-12	5.5566147239e-09	0.00218790931744	-2.57505128332e-12
10.200	87302.8	2.62900812231e-13	-485115.158575	-3.97903932026e-13	3.94684285254e-13	485115.158575	-7.28306304154e-14	7.01402314007e-09	-0.0125174847099	-5.00222085975e-12	-6.64914523441e-09	-0.012517484709	2.3265833704e-12
10.300	50868.0	-5.68434188608e-14	-267460.97544	-1.70530256582e-13	-2.85327317329e-14	267460.975441	1.11910480882e-13	1.36788003147e-09	-0.00762891841032	-9.09494701773e-13	1.36390099215e-09	-0.00762891840167	2.80619971704e-12
10.400	30434.5	-2.48689957516e-14	-152985.334537	-1.35003119794e-13	-5.45674616603e-14	152985.334538	1.13686837722e-13	-1.89174897969e-10	0.00592123379488	-2.38742359215e-12	-1.35193545248e-09	0.00592123379452	-3.14348547192e-12
10.500	18572.7	4.97379915032e-14	-90317.1383734	-2.39808173319e-13	2.3758772727e-14	90317.1383842	1.24344978758e-14	1.81898940355e-10	0.013223144098	2.04636307899e-12	-2.58722820945e-10	0.0132231441006	3.58824081559e-13
10.600	11481.3	-7.1054273576e-15	-54773.3793652	-2.0694557179e-13	-1.38999922683e-13	54773.3793654	-1.7763568394e-13	3.63797880709e-12	-0.00767422528043	1.19371179608e-12	3.01554337057e-10	-0.00767422528511	-1.43440814782e-13
10.700	7134.52	-2.30926389122e-14	-33973.001935	1.45439216226e-13	-9.12603326242e-14	33973.0019354	-1.59872115546e-13	-4.11091605201e-10	0.00632917242206	5.68434188608e-13	6.7061023401e-10	0.0063291724191	-7.97140131681e-14
10.800	4414.95	-9.7699626167e-15	-21460.8556644	1.60316204756e-13	-4.84057238737e-14	21460.8556774	3.73034936274e-14	-1.01863406599e-10	-0.0038308815615	-3.41060513165e-13	-2.50111042988e-11	-0.00383088155984	-2.83328915884e-13
10.900	2685.33	-3.99680288865e-14	-13751.1305676	9.05941988094e-14	2.44249065418e-15	13751.130568	2.14939177567e-13	-2.72848410532e-11	0.00361056152121	-1.13686837722e-13	2.01282546186e-10	0.00361056151769	-8.32667268469e-14
11.000	1571.18	5.77315972805e-15	-8900.1448636	1.95399252334e-13	-3.82471831983e-14	8900.144864	5.86197757002e-14	-2.68300937023e-11	-0.00160802222516	1.4921397451e-13	-4.1467274059e-11	-0.00160802222495	2.55351295664e-14
11.100	848.909	4.81836792687e-14	-5793.2025446	1.84741111298e-13	4.84057238737e-14	5793.2025452	-5.3290705182e-15	4.54747350886e-12	0.00208656275943	1.42108547152e-14	-4.49631443189e-11	0.00208656276248	-1.28785870857e-13
11.200	378.357	1.28119737042e-13	-3772.5665514	7.1054273576e-15	-3.19744231092e-14	3772.5665516	-1.01252339846e-13	5.91171556152e-12	-0.00260961250319	-7.46069872548e-14	2.67732502834e-11	-0.00344547649614	-2.3758772727e-14
11.300	73.5884	-1.04360964315e-14	-2442.5507432	-1.22568621919e-13	6.7446048746e-14	2442.5507392	1.59872115546e-14	-2.4101609597e-11	0.000297999179779	-2.22044604925e-13	-2.39879227593e-11	0.000148505581976	1.55431223448e-15
11.400	-122.619	-7.1054273576e-15	-1558.0836328	6.39488462184e-14	-9.7699626167e-15	1558.0836328	-1.22568621919e-13	1.00044417195e-11	0.000397503460928	-2.00728322852e-13	4.97379915032e-12	0.000397503457336	-7.32747196253e-15
11.500	-246.456	-4.15709133783e-14	-965.7615358	2.27373675443e-13	4.76285677564e-14	965.7615318	-1.35003119794e-13	2.60342858383e-11	0.00171844947897	-8.26005930321e-14	1.81898940355e-11	0.00171844947764	1.88737914186e-14
11.600	-321.378	-3.24740234703e-14	-567.5525704	-1.68753899743e-13	4.59632332195e-14	567.5525724	3.19744231092e-14	-7.21911419532e-12	0.0022187689792	-9.54791801178e-14	-3.69482222595e-12	0.00221876898015	-6.66133814775e-16
11.700	-362.892	9.52016243616e-15	-299.9050264	-2.11386463889e-13	6.05626659933e-14	299.9050284	-1.98951966013e-13	7.56017470849e-12	-0.00106866987736	-9.05941988094e-14	-1.62003743753e-12	-0.00106866987313	-1.7763568394e-15
11.800	-382.69	-6.05626659933e-14	-120.3714814	1.45661260831e-13	1.18238752123e-14	120.3714834	-2.13162820728e-14	8.29913915368e-12	-0.00495015365865	-9.25926002537e-14	-4.54747350886e-12	-0.00495015366166	8.881784197e-16
11.900	-387.883	-1.848521336e-14	-0.9991402	-9.05941988094e-14	2.16493489802e-15	0.9991382	-9.94759830064e-14	1.05160324892e-12	0.00478781793699	-9.32587340685e-14	-5.40012479178e-13	0.00478781793987	5.08482145278e-14
12.000	-382.757	1.44328993201e-15	76.715508	-1.7763568394e-15	-1.43218770177e-14	-76.71551	-5.3290705182e-14	-4.51905179943e-12	-0.011312037643	-1.21236354289e-13	3.32534000336e-12	-0.0113120376388	3.77475828373e-14
12.100	-371.104	-4.51860771022e-14	125.9114572	2.48689957516e-13	3.0975222387e-14	-125.9114532	-4.26325641456e-14	-7.7591266745e-12	-0.00203302256012	-5.83977310953e-14	-7.95807864051e-13	-0.00203302255963	8.65973959208e-15
12.200	-356.56	-4.94049245958e-15	155.9486074	3.67705865756e-13	6.32827124036e-15	-155.9486074	-3.41060513165e-13	7.95807864051e-12	0.00313658478037	-7.4162898045e-14	-3.41060513165e-13	0.00313658478065	1.11022302463e-15
12.300	-339.614	-6.99995617026e-14	172.42325	1.31450406116e-13	-1.22013510406e-13	-172.42325	-6.03961325396e-14	1.36424205266e-12	0.00461646542114	-9.68114477473e-14	-3.52429196937e-12	0.00461646542152	-1.70974345792e-14
12.400	-321.587	4.70179450929e-14	179.68856202	4.97379915032e-14	-1.66533453694e-15	-179.68855602	1.10134124043e-13	4.73221462016e-12	0.000777943819365	-1.38111744263e-13	-6.62225829728e-12	0.000777943818775	3.73034936274e-14
12.500	-303.088	5.27355936697e-15	180.66654786	2.3803181648e-13	6.77236045021e-15	-180.66642186	2.27373675443e-13	-2.62900812231e-12	-0.000194628401871	-7.1054273576e-14	-8.52651282912e-14	-0.000194628402042	2.62012633812e-14
12.600	-284.828	-4.79061235126e-14	177.5629435	9.7699626167e-14	3.03090885723e-14	-177.5629435	-7.1054273576e-15	-9.37916411203e-13	0.00237997511822	-7.66053886991e-14	4.71800376545e-12	0.00237997511782	2.88657986403e-15
12.700	-266.637	5.2569060216e-14	171.58206928	3.19744231092e-14	6.672440378e-14	-171.58206728	-1.84741111298e-13	-1.13686837722e-13	-0.00236344690013	-9.92539384015e-14	-1.02318153949e-12	-0.00236344690194	-1.46549439251e-14
12.800	-249.346	-3.73034936274e-14	164.03332088	-8.70414851306e-14	6.91668944341e-14	-164.03319488	-6.39488462184e-14	-6.2669869294e-12	-0.00262031428059	-9.43689570931e-14	1.19371179608e-12	-0.00262031428332	-2.75335310107e-14
12.900	-232.614	3.38062910998e-14	155.44262884	-5.68434188608e-14	8.32667268469e-15	-155.44262884	-2.16715534407e-13	4.16378043155e-12	-9.47703402474e-05	-1.04360964315e-13	-3.21165316564e-12	-9.47703388903e-05	-1.64313007645e-14
13.000	-217.157	5.30686605771e-14	146.51930976	2.68229882749e-13	-3.20854454117e-14	-146.51930976	-7.46069872548e-14	3.59534624295e-12	-0.000742981138313	-8.48210390814e-14	1.08002495836e-12	-0.000742981138799	4.21884749358e-15
